風險ID,戰略目標,子目標,主責部門,風險擁有者,營運目標,風險類別,風險情境,現有控制措施,警戒指標,行動指標,關係方,各單位可能性,各單位影響度,各單位風險等級,主責單位可能性,主責單位影響度,主責單位風險等級,回應策略,新增對策,優化建議,加權風險等級,評估優化
1047,永續發展ESG政策遵循,減碳,人力資源處 李英豪(FRANCE),行政服務部,113年前完成三地組織型溫室氣體盤查的外部查證並取得證書,ESG永續風險,於113年若未完成三地溫室氣體盤查，將無法符合客戶期許，影響公司競爭力。,"已制訂溫室氣體盤查及查證時程規劃表提董事會核准,後續將依期排程落實執行,同時委請輔導公司協助輔導並與集團內母公司及子公司相關承辦及主管進行盤查邊界的劃分確認,其盤查邊界將於盤查報告書中呈現說明。",-,-,ESG委員會,2,4,8,2,3,6,-,-,,6.80,●營運單位目標調整：「營運單位目標」可修改為階段性任務目標。(原為三年度長期計畫，此次訂定113年的階段任務)
1048,永續發展ESG政策遵循,減碳,人力資源處 李英豪(FRANCE),行政服務部,113年前完成全集團組織型溫室氣體盤查時程規劃並經ESG委員會核准,ESG永續風險,"於113年未完成全集團組織型溫室氣體盤查時程規劃,今年度未能提前規劃預訂明年度排程及編列預算,屆時國內查證及輔導人力緊缺可能會無法如期完成盤查及查證作業。","更新溫室氣體盤查及查證時程規劃表提董事會核准,後續將依期排程落實執行,同時委請輔導公司協助輔導並與集團內母公司及子公司相關承辦及主管進行盤查邊界的劃分確認,其盤查邊界將於盤查報告書中呈現說明。",-,-,ESG委員會,3,4,12,2,3,6,-,-,,8.16,●營運單位目標調整：「營運單位目標」可修改為階段性任務目標。(原為三年度長期計畫，此次訂定113年的階段任務)
1049,永續發展ESG政策遵循,減碳,人力資源處 李英豪(FRANCE),蘇州廠務,優化營運效能 (預估投入人民幣316萬元，並每年節省46.25萬度電力),ESG永續風險,經過廠務評估及測試，優化項目實際效果嚴重低於預期，造成節能成效不彰。,1，對現有的方案做優化確認是否可以通過優化措施降低風險。 2，現有方案如通過優化仍無法達成，則尋求替代方案。 3，如替代方案亦無法達成目標，則取消執行。,-,-,蘇州廠務主管,2,2,4,2,2,4,-,-,,4.00,N/A
1050,永續發展ESG政策遵循,公司治理,人力資源處 李英豪(FRANCE),財會處,提高公司治理評鑑等級(前5%第一級公司),策略風險,其它上櫃公司表現超出預期，間接造成威剛無法成功擠進前5%。,把握所有題型分數，超目標達成。,-,-,公司治理主管,2,2,4,2,2,4,-,-,,4.00,N/A
1051,降低庫存水位,庫存水位降至16週,產品行銷處 陳志瑋(IBSEN),產品行銷處,增加銷售數量與金額。當庫存水位過高時，在一季度內庫存金額水位需降至16週以下。,營運風險,各產品線預算與盈利能力考量，影響各產品線庫存配比，進而影響銷售策略。相對因市場各區域狀況不同，demand太差或客戶target price 過低，公司考量毛利情況下，可能導致不成交，而無法達到目標營業額。,每周結算庫存水位+每月結算各產品線毛利，依照市場供需狀況或預期特定產品呆滯可能時，進行動態調整銷售策略與制定必達目標。當市場需求下降或預期特定產品呆滯可能時，PM提供promotion或insentive。業務持續monitor競爭者狀況，並於每雙周會議主動反饋給公司內部，依照PM反饋對競爭對手進行主動出擊策略。,-,-,產品行銷處主管,3,3,9,3,3,9,-,-,,9.00,N/A
1052,營收目標400億+拓展通路與市占率,營收目標400億,採購資材群 吳宗庭(CHARLY),工控事業群,年度營收 $103M,營運風險,1.工業電腦市場成長率不如預期，從近十年每年成率約10~15%，今年約6~8%，影響營收達成。 3.新產品(ARM based)產品及新客戶佈局的速度不及競爭者,1.持續增加客戶及擴大巿場的占有率。目標交易客戶數達300家。 4.針對ARM的產品，開發Embedded memroy product，包含LPDDR4/LPDDR5/eMMC等產品。,-,-,工控事業群主管、產品行銷處、研發事業群主管,2,2,4,3,3,9,-,-,,6.76,N/A
1053,營收目標400億+拓展通路與市占率,營收目標400億,採購資材群 吳宗庭(CHARLY),OBM(含海外&XPG),以公司目標營收14%為目標，並達成年度各部級業績目標100%,營運風險,針對預算編訂時選定重點國家或區域，但在實際執行年度該國家的經濟狀況嚴重衰退或其他不可抗力因素，導致業績無法達成。,1. 針對艱困區域，提出明確需求，請公司特殊支援 2. 其他體質健康的國家，持續深化對於 A. 競品促銷的實質掌握  B. 標案機會的掌握度 C. 持續性的品牌耕耘與露出 能提高成長高於預期的業績的機會,-,-,通路業務事業群主管、產品行銷處,3,3,9,4,2,8,-,-,,8.64,●主責單位風險評估值調整：「可能性-主責單位」可調整為4，「影響-主責單位」可調整為2。
1054,營收目標400億+拓展通路與市占率,營收目標400億,採購資材群 吳宗庭(CHARLY),OBM(含海外&XPG),Sales Rev H/R over 100% Market share increase 5%(current 5~10% -->10%~15%) on DRAM . SSD T2 expansion and incease 20% compared to 1H'2024,營運風險,中國政府補貼，導致當地業者以低價傾銷商品，影響市佔率。,"check competitor price weekly , and report to company to get support ; define price competitive SKUs to compete and convince T1/T2 Sell in confidence ; exploring unique skus to sell",-,-,業務管理群主管、產品行銷處,4,2,8,3,3,9,-,-,,8.84,●各單位風險評估值調整：「可能性-各單位」可調整為4，「影響-各單位」可調整為2。
1055,Margin Margin Margin x Profit Profit Profit,達成預算營業利益,採購資材群 吳宗庭(CHARLY),產品行銷處,業務毛利 15%,營運風險,"市場下行(跌價中) , 導致業務無法達成毛利目標。","1. 確認是否為下行市場 2. 如果項目1為真 , 採購會依據市場狀況跟供應商重新議價 , 取得合理成本 3. 反覆執行項目 2  , 直到達成毛利設定目標",-,-,採購資材群主管、產品行銷處,3,3,9,3,3,9,-,-,,9.00,●主責單位風險評估值調整：「可能性-主責單位」可調整為3，「影響-主責單位」可調整為3。
1056,"強化品牌價值(ADATA,XPG)",維持台灣前20大國際品牌,品牌行銷處 劉怡君(JENNIE),品牌行銷處,品牌內化- 年度舉辦4次品牌課程與發送4次內部信，確立品牌的理念、願景與方向可100%傳遞給新進同仁與既有同事,營運風險,同仁未能完全理解組織願景，以致傳遞不相同品牌理念給客戶，造成客戶困惑。,新進同仁會給予品牌課程，最新消息也會透過各項內部平台(信件與開機畫面)與全公司同仁溝通。,-,-,品牌行銷處主管、人力資源處,2,2,4,2,2,4,-,-,,4.00,N/A
